Name,Category,Status,Brand,Model,Warranty Date,Purchase Price,Purchase Date,Residual Value,Depreciated Value,Flag,Geo,Kit,Location,Created,Expired,Id,Codes,Image Url,Barcodes,Check-out Started,Check-out Due,Check-out Finished,Check-out Id,Contact Name,Contact Email,Contact Company,Check-out Location Name,Custody (via name),Custody (via email),Serial number,Description,Owner,Hyperlink,BH ID,Manufacturer,Model Number,Inventory Number,Online Link,Serial,Purchase Date,Item Number,MSRP
01.5ft XLR Cable,XLR,available,Coluber,1.5ft,,9.49,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-16 03:29:33,,YjSyNpSRhJr3iyKT2WZUbU,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/1205bd1c-7d25-11ed-8929-0a58a9feac02.jpg,CW1-0012,,,,,,,,,,,,New XLR Cables,,https://www.ebay.com/itm/183920105482,,,Coluber Cable Pro Series,,,,,1,
01.5ft XLR Cable,XLR,available,Coluber,1.5ft,,9.49,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-16 11:51:08,,a7L5j7dQB38k6XD3a2hBM7,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/1205bd1c-7d25-11ed-8929-0a58a9feac02.jpg,CW1-0005,,,,,,,,,,,,New XLR Cables,,https://www.ebay.com/itm/183920105482,,,Coluber Cable Pro Series,,,,,2,
01.5ft XLR Cable,XLR,available,Coluber,1.5ft,,9.49,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-16 11:51:08,,szr6JN6p8dC9KcpyALRRHo,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/1205bd1c-7d25-11ed-8929-0a58a9feac02.jpg,CW1-0006,,,,,,,,,,,,New XLR Cables,,https://www.ebay.com/itm/183920105482,,,Coluber Cable Pro Series,,,,,3,
03ft XLR Cable,XLR,available,,3ft,,9.99,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-16 03:29:33,,AfGAETWPx8yTRazdg3387a,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/19cfc1d2-7d25-11ed-9dce-0a58a9feac02.jpg,CW1-0007,,,,,,,,,,,,New XLR Cables,,https://www.ebay.com/itm/183920105482,,,,,,,,,
06ft XLR Cable,XLR,available,,2m - 6ft,,5.51,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-16 03:29:33,,S3mKg2RFKhd6KoVENDdt4T,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/20d9ec5a-7d25-11ed-9482-0a58a9feac02.jpg,CW1-0015,,,,,,,,,,,,New XLR Cables,,https://www.ebay.com/itm/233246753428,,,,,,,,1,
06ft XLR Cable,XLR,available,,2m - 6ft,,5.51,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-16 12:20:58,,fZq4w2H3idMafZ2r3f9bEX,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/20d9ec5a-7d25-11ed-9482-0a58a9feac02.jpg,CW1-0008,,,,,,,,,,,,New XLR Cables,,https://www.ebay.com/itm/233246753428,,,,,,,,2,
06ft XLR Cable,XLR,available,,2m - 6ft,,5.51,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-16 12:20:58,,gB5JgezUXGrktafabdKcXn,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/20d9ec5a-7d25-11ed-9482-0a58a9feac02.jpg,CW1-0009,,,,,,,,,,,,New XLR Cables,,https://www.ebay.com/itm/233246753428,,,,,,,,3,
06ft XLR Cable,XLR,available,,2m - 6ft,,5.51,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-16 01:14:11,,rm57oiJCxk25pV3ChmE4Wg,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/20d9ec5a-7d25-11ed-9482-0a58a9feac02.jpg,CW1-0017,,,,,,,,,,,,New XLR Cables,,https://www.ebay.com/itm/233246753428,,,,,,,,4,
06ft XLR Cable,XLR,available,Kopul,M3006,,17.95,2020-01-27 12:00:00,,,,"36.3462958, -94.1951064",Field Audio Recording Kit,Redbird | 117,2023-04-04 06:43:49,,ntJWugnSZcD9CFGuZtRszR,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/8767e2fa-d343-11ed-b94f-0a58a9feac02.jpg,CB1-0010,,,,,,,,,,,,,,https://www.bhphotovideo.com/c/product/867219-REG/Kopul_m3010_Premium_Performance_3000_Series.html,KOM3006,,,,,,,,
06ft XLR Cable,XLR,available,Kopul,M3006,,17.95,2020-01-27 12:00:00,,,,"36.3462958, -94.1951064",Field Audio Recording Kit,Redbird | 117,2023-04-04 06:51:49,,7SvAeP5h64MMRNpr7sxGgh,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/8767e2fa-d343-11ed-b94f-0a58a9feac02.jpg,CB1-0009,,,,,,,,,,,,,,https://www.bhphotovideo.com/c/product/867219-REG/Kopul_m3010_Premium_Performance_3000_Series.html,KOM3006,,,,,,,,
